,HillS,HillP,Sim_AnnealS,Sim_AnnealP,ReprandS,ReprandP,KK
,2.084373951,7.573758125,3.361532927,19.53648305,1.204577923,8.350658178,8.30E-05
,2.188327789,7.692555904,3.325119019,19.27419591,1.201138973,8.363465071,8.30E-05
,2.150901079,7.830789089,3.380465031,18.73762107,1.183802128,8.302719116,9.89E-05
,2.11244607,7.819770098,3.396719933,18.98413301,1.232244968,8.522062063,8.80E-05
,2.182296038,7.927874088,3.467282057,19.22523999,1.217160225,8.543926954,8.20E-05
,2.155468941,7.841166019,3.478750944,19.356143,1.208498955,8.661673069,8.51E-05
,2.17646718,8.120498896,3.445540905,18.95427704,1.17991209,8.653064013,0.000108957
,2.178793907,8.043120861,3.483152151,18.40842104,1.257857084,8.237253904,9.80E-05
,2.147792101,7.841181993,3.339750051,18.51606917,1.242336988,8.583491087,8.30E-05
,2.202573061,7.812628984,3.314719915,18.49622202,1.163039923,8.440018177,8.20E-05
,2.186828136,7.881561041,3.465361118,19.02020383,1.24447608,8.389168978,8.30E-05
,2.12552619,7.757354021,3.367390156,19.32731581,1.255476952,8.629532099,8.80E-05
,2.236283064,8.031280994,3.516391993,19.35946584,1.178884983,8.144173861,8.89E-05
,2.068101883,7.63481307,3.409265995,19.38659,1.181820869,8.485861063,8.20E-05
,2.119105816,7.963249922,3.473350048,18.5102911,1.250452042,8.321097136,0.000112057
,2.169494867,8.030553818,3.382618189,18.48825288,1.183344841,8.356072903,8.20E-05
,2.077826023,7.721198797,3.240895987,18.12181687,1.182080984,8.130934,0.00011301
,2.112085104,7.630510092,3.287955046,18.13016486,1.147614956,8.266215086,8.39E-05
,2.122071981,7.793965101,3.320713997,18.15312099,1.16173315,8.162656069,8.39E-05
,2.045138121,7.689677954,3.281834841,18.35633302,1.145704985,8.418089867,8.30E-05
,2.179687023,8.053146124,3.357148886,18.18801594,1.166764975,8.676548958,0.000148058
,2.62894702,8.101287842,3.440734863,18.98280811,1.218412876,8.526466846,0.000107765
,2.22063303,8.134154081,3.424985886,18.511096,1.210937977,8.70890522,8.39E-05
,2.188606024,7.871184111,3.471318007,19.08131695,1.162067175,8.503396988,9.89E-05
,2.204201937,8.009894133,3.481121063,18.94263697,1.193445206,8.364637852,9.89E-05
,2.136909008,8.029506922,3.367596149,18.97922802,1.186895847,8.301773787,8.39E-05
,2.164226055,7.806738853,3.443167925,19.45205808,1.253125906,8.411226034,8.39E-05
,2.18930006,8.281378984,3.51947403,19.00352693,1.219609022,8.549678802,9.68E-05
,2.229809999,8.467753172,3.469918966,19.2086122,1.245022058,8.544249058,8.39E-05
,2.150121927,7.940634966,3.479054928,19.37797904,1.181104183,8.296127081,8.39E-05
,2.125263929,7.84543705,3.374560118,18.6504159,1.168534994,8.253592968,8.11E-05
,2.123255014,7.786324024,3.360561132,18.47268105,1.178478003,8.226448059,0.000112057
,2.084845066,7.682374954,3.32456398,18.28919005,1.176794052,8.259753942,8.42E-05
,2.067932129,7.723884106,3.29179287,18.24486709,1.168032169,8.288803101,0.000128984
,2.072389126,7.663711071,3.323315859,18.47276092,1.184894085,8.311951876,8.39E-05
,2.096434832,7.719923973,3.34988308,18.48329711,1.176944017,8.609447956,9.18E-05
,2.228528976,8.002901077,3.462753057,18.73691511,1.159461975,8.321581125,8.30E-05
,2.096513987,7.804543018,3.281976938,18.29378104,1.189820051,8.339991093,8.42E-05
,2.086911917,7.797821045,3.36916399,18.58492398,1.214334965,8.396687984,8.42E-05
,2.13135004,7.960364103,3.364963055,18.67130494,1.185171127,8.464895964,8.61E-05
,2.109696865,7.768065214,3.398732901,18.50113988,1.182096004,8.230533123,0.000128984
,2.114855051,7.93612504,3.296056032,18.60742688,1.145851135,8.396965981,9.89E-05
,2.174696922,7.862704039,3.382589817,19.03250599,1.165961027,8.367609978,0.000112057
,2.147153139,8.173644066,3.465126991,18.8683641,1.181766987,8.417495012,8.80E-05
,2.129603863,7.81272912,3.417518854,18.7071898,1.260617971,8.455828905,8.70E-05
,2.118389845,7.857771873,3.389287233,18.52216387,1.176542997,8.356700897,0.000126839
,2.099498034,7.762324095,3.354930878,18.80553579,1.180876017,8.249360085,8.49E-05
,2.099328041,7.841736078,3.396447897,18.53961301,1.165979862,8.223649025,8.68E-05
,2.103338957,8.193442106,3.547816992,19.34344888,1.203476906,8.382239103,8.30E-05
,2.121053934,7.817682981,3.373886108,19.17845702,1.216612101,8.661448002,0.000136137
,2.223294973,8.274199963,3.495884895,19.0278461,1.217736006,8.410643101,8.30E-05
,2.105692863,8.233889818,3.326121092,18.27203512,1.178100109,8.245509863,8.30E-05
,2.112110853,7.563423872,3.30893898,18.42709398,1.1647861,8.197251081,8.30E-05
,2.026093006,7.820820093,3.318984985,18.2669971,1.243927002,8.715866089,0.000128984
,2.151144028,8.033562899,3.453307152,19.1576879,1.222483158,8.710220098,9.99E-05
,2.248325109,8.189477921,3.338687897,18.32591105,1.176555157,8.190932035,0.000111103
,2.101758957,7.81843996,3.307667971,18.38411808,1.162816048,8.113086939,9.89E-05
,2.05459094,7.670321941,3.278400898,18.22010207,1.138977051,8.252282858,8.32E-05
,2.078576088,7.728505135,3.310515881,18.96700597,1.245546103,8.372349977,8.30E-05
,2.113452911,7.740263939,3.351521969,18.43627906,1.181559086,8.592960119,8.30E-05
,2.158558846,7.910443783,3.606124878,18.8091538,1.149531841,8.463283062,8.80E-05
,2.279171944,7.675549984,3.371173143,18.68116903,1.180532932,8.319336891,8.30E-05
,2.098236084,7.896570921,3.423463821,18.35535288,1.179854155,8.251033068,8.39E-05
,2.082547188,7.692662001,3.409951925,19.12794781,1.216239929,8.398311138,0.000149012
,2.088937044,7.837211847,3.418946028,18.72501683,1.219957829,8.421507835,8.20E-05
,2.086607933,7.92168498,3.304418087,18.29169607,1.176954985,8.189757109,8.30E-05
,2.124850988,7.928249121,3.318500042,18.23615313,1.175017834,8.214301825,8.89E-05
,2.121464014,8.624758005,3.475142956,19.13162589,1.153937817,8.200137854,8.30E-05
,2.112572908,8.339492083,3.421468019,18.81493521,1.19212079,8.414426804,9.89E-05
,2.084908962,7.79703784,3.336188078,18.60646582,1.244225979,8.47835207,9.39E-05
,2.113329172,8.021066904,3.34519577,18.79548287,1.185734987,8.302275896,9.20E-05
,2.272570133,7.787203074,3.311769962,18.93194509,1.180427074,8.18591094,0.000153065
,2.12558198,7.963711023,3.381478071,18.46101379,1.205456972,8.257044077,9.89E-05
,2.069531202,7.722992897,3.336359978,18.5793519,1.164195061,8.296119928,8.30E-05
,2.078894854,7.562761784,3.486804962,18.49777102,1.194995165,8.299634933,0.000111818
,2.131411076,8.097630024,3.665790081,19.16245604,1.240597963,8.446821213,8.58E-05
,2.086622,7.751678944,3.360215902,19.1240809,1.224616051,8.600483179,9.99E-05
,2.214573145,8.185144901,3.454473972,19.37400103,1.302486897,8.777096987,8.61E-05
,2.17945385,8.084351778,3.51650095,19.06682301,1.196619034,8.359549046,0.00011301
,2.142893076,7.728575945,3.400069952,18.66308212,1.128710032,8.23555088,8.42E-05
,2.091452122,7.752943039,3.343378067,18.47528911,1.203742981,8.453873158,9.89E-05
,2.098352909,7.683125973,3.344170094,18.90301991,1.187138081,8.510167122,8.99E-05
,2.243638039,7.721513987,3.463260889,18.3392241,1.130706072,8.157922029,8.39E-05
,2.100275993,7.649986982,3.311550856,18.37876201,1.193031788,9.116119862,9.30E-05
,2.193809032,8.215839148,3.395936966,18.50864005,1.160533905,8.220215082,8.39E-05
,2.057008982,7.742670059,3.391943932,18.97000003,1.249653816,8.556416035,8.49E-05
,2.147769928,7.957339048,3.453313112,18.83122301,1.236232996,8.350993156,0.000112057
,2.087161064,8.020711184,3.381381989,18.43059611,1.221562862,8.634163857,8.39E-05
,2.091491938,8.025640965,3.450459957,18.49938107,1.176300049,8.302263021,0.000113964
,2.107807159,7.892035007,3.407463074,19.11332488,1.226863146,8.50437212,8.70E-05
,2.099704027,8.099119186,3.411785126,18.69515085,1.173902988,8.39074111,8.49E-05
,2.136777163,7.734518051,3.321048975,18.60954309,1.148752928,8.345977068,0.000150919
,2.089988947,7.908969879,3.466231108,19.45348001,1.16682291,8.575314045,8.30E-05
,2.154113054,7.870649099,3.323832989,18.55921602,1.190300941,8.326859951,0.000112057
,2.090167046,7.825809956,3.322674036,18.96096301,1.252038002,8.567816973,9.39E-05
,2.167356014,8.118487835,3.505741835,18.80624294,1.176529884,8.148481846,8.30E-05
,2.091436863,7.607825994,3.272094965,18.17867804,1.141186953,8.099447966,8.30E-05
,2.048039198,7.664928913,3.427736998,18.29619694,1.273422003,8.179399014,8.39E-05
,2.135185003,8.055418968,3.476264954,19.04832292,1.16488409,8.416306973,0.000102997
,2.125450134,8.006064892,3.426651955,19.01593208,1.21339798,8.459416151,9.08E-05
,,,,,,,
Avg,2.136901238,7.895019786,3.39450249,18.74069408,1.194734943,8.392884309,9.49216E-05
