,HillS,HillP,Sim_AnnealS,Sim_AnnealP,ReprandS,ReprandP,KK
,9886804,392,47270057,119,733037826,80,1023286
,379333878,198,145193762,424,95606218,182,136210
,1038308495,565,546528275,9,107714081,9,302733
,686204798,320,123437826,26,98117396,198,81052
,91653440,1332,417179452,110,517954060,124,34524
,556579424,350,259757986,32,66253802,52,224246
,148536480,38,608693043,553,105742848,6,361566
,855299441,531,249409690,98,331530671,445,256721
,1271905559,757,179373043,65,97433749,189,252035
,65745339,1503,20267092,334,13904289,3,93693
,24941859,355,198735687,87,11249085,227,1623
,181798457,55,53234363,39,936403203,211,5839
,604452974,22,182820315,543,140567302,132,292618
,965066272,102,285224166,404,713872188,316,109316
,170306884,1318,175604712,114,87471594,352,20052
,325943367,1199,377312918,16,476636925,289,71171
,729138201,1193,39973569,341,48699359,29,123903
,211443970,1834,522522465,151,309554066,8,105148
,276839131,665,171371235,19,944844549,41,20111
,85823244,200,290980470,324,285426926,296,253814
,167065142,1272,162338214,92,41898472,34,183532
,587210195,133,533522773,171,110800625,203,199959
,520051373,153,175599853,37,260200599,379,457075
,716228234,1818,436072187,75,217860978,176,119668
,480663342,848,764779935,111,397332734,442,15430
,24474048,18,821962362,308,443144604,1188,38816
,753934585,569,112471803,39,171182963,275,57581
,643147670,506,1126782217,3,17640884,242,34970
,422778865,2097,118442708,112,522462157,213,4403
,1208704133,269,57422447,23,48924619,31,923173
,533571483,177,150701908,130,36547719,79,1303
,147265412,172,229183884,146,363782144,118,42688
,39840781,229,129288118,40,275482727,463,2651077
,193154834,402,119859526,52,37248424,266,235784
,3713376,1310,668883380,14,1500914,52,13152
,178864527,735,521287796,14,353216635,63,158275
,243986047,2615,83642977,215,925726419,257,22693
,23486965,1405,153627963,395,34492597,373,182425
,62731040,28,194785241,3,22584574,90,67242
,132398385,719,23887959,95,535723749,31,267915
,283175073,363,33578568,140,496769975,57,877565
,86209289,1467,61346309,141,42824439,217,1098469
,145224319,81,803345302,118,95504389,161,75793
,78796079,215,77326175,613,86821635,61,30073
,65879586,116,1250056647,535,407974928,58,81178
,4659110,288,397384791,569,278633946,2,126946
,55216677,47,61742167,67,169288103,33,94893
,241310354,28,100464662,560,250893974,126,1868
,25532765,407,49358482,14,4740461,459,343883
,314587019,23,235334473,415,56711187,139,123605
,238601572,470,695902647,37,90937762,194,138966
,251382498,1186,101179946,164,1460470826,40,81710
,3533870,434,119095573,1019,61422682,428,34908
,533140190,2706,439747870,116,466963382,78,14894
,98351369,43,18308431,167,468628275,161,85511
,89287797,1057,258596310,120,323321019,29,1035379
,46461367,541,133586584,206,192729985,461,254585
,238130234,1144,378077080,532,30034764,44,82762
,252594043,219,264180035,3,308388497,373,897229
,200139828,462,106684898,46,439895466,410,197040
,835054714,232,138366261,17,291494188,18,86228
,339908747,211,30434127,205,218600913,117,72441
,540945843,331,102970462,198,505860365,173,31217
,95306684,268,103799964,308,27678490,310,106066
,446372087,283,106238657,61,220441059,345,18099
,102433490,576,345031569,209,1133754208,208,4390
,270411624,498,114233131,319,21555528,144,47702
,818503890,80,1076438793,51,162714848,668,82832
,379445764,370,157670935,23,525593406,248,66698
,67218523,233,288502696,234,539724159,47,7639
,1139577005,2089,74268268,2,1074588439,205,53427
,1314847000,802,46661940,168,57708296,26,286444
,393992366,400,866623927,231,35256354,220,14748
,783892054,3756,836234007,59,884448128,520,359356
,38945451,801,328903783,377,268179425,191,39211
,929683048,6,74887470,256,144832874,192,14028
,57740793,585,6144161,67,14194349,127,546637
,308504945,287,61206341,15,214035177,181,50181
,1099277077,703,411018652,78,442296245,15,77573
,151748224,304,64786418,140,530887976,8,106946
,20600684,446,1540884596,52,28733072,314,145764
,77948779,221,3819274,134,250997547,27,3173
,616760068,60,320884612,284,3072764,150,24634
,531521749,4399,297469677,883,264402053,169,195047
,309471101,1917,29837590,12,68479549,75,17561
,1291318980,734,37562334,280,181925846,24,358744
,246204490,2514,13525468,136,185302274,194,44024
,77440697,1077,52954150,112,102015833,291,50711
,799680253,2401,125586715,159,722724743,667,10193
,528600665,669,483139227,11,94074443,127,38263
,43470540,500,158924665,301,283608594,44,323734
,566968943,841,462630714,298,46654613,189,88611
,203963882,438,3817289,157,372229036,72,884972
,1230199504,14,238661842,102,35711706,6,89074
,568324300,524,457512362,194,367371876,74,78658
,169026267,611,18541458,486,17240331,321,39313
,245479420,358,7253647,287,541356650,108,18888
,4216060,354,60358714,302,820056398,32,90694
,214711325,827,331346115,327,322297243,43,396989
,187138713,73,451527634,472,37538343,33,37533
,,,,,,,
Avg,370615472.4,714.94,273953899.7,194.72,287323677.1,186.18,201325.22
